"MMSI;""IMO"";""Status"";""RecvTime"";""MessageID"";""NavigationalStatus"";""ROT"";""SOG"";""PositionAccuracy"";""longitude"";""latitude"";""Altitude"";""COG"";""TrueHeading"";""RAIM"";""OffPosition"""
"111;NULL;""OK"";""2017-04-13 01:28:25"";""3"";""0"";""0.0"";""0.0"";""0"";""-76.843233"";""17.939533"";""-1"";""292.7"";""62"";""0"";""0"""
"201326644;NULL;""OK"";""2017-04-10 19:53:51"";""1"";""9"";""40.2"";""0.4"";""0"";""-76.775217"";""17.9556"";""-1"";""355"";""72"";""0"";""0"""
"201326763;NULL;""OK"";""2017-04-10 20:03:10"";""1"";""7"";""182.8"";""1.3"";""1"";""-77.082233"";""17.841017"";""-1"";""3.4"";""5"";""1"";""0"""
"201326763;NULL;""OK"";""2017-04-30 02:44:54"";""1"";""7"";""182.8"";""13.8"";""1"";""-76.28885"";""18.333467"";""-1"";""116.3"";""117"";""1"";""0"""
"201326763;NULL;""OK"";""2017-04-30 04:04:47"";""1"";""7"";""182.8"";""9.5"";""1"";""-76.122733"";""18.199483"";""-1"";""138.8"";""76"";""0"";""0"""
"201326789;NULL;""OK"";""2017-04-10 19:53:59"";""1"";""2"";""54.7"";""51.3"";""0"";""-76.749728"";""17.95544"";""-1"";""44.9"";""307"";""0"";""0"""
"201327256;NULL;""OK"";""2017-04-08 09:32:12"";""1"";""2"";""145.0"";""25.7"";""0"";""-76.51655"";""18.495033"";""-1"";""109"";""106"";""0"";""0"""
"201327313;NULL;""OK"";""2017-04-11 17:11:37"";""1"";""13"";""200.4"";""52.5"";""1"";""-76.218167"";""18.34185"";""-1"";""118"";""117"";""0"";""0"""
"201334722;NULL;""OK"";""2017-03-19 18:26:54"";""1"";""10"";""54.7"";""0.0"";""1"";""-77.0768"";""17.832383"";""-1"";""9.8"";""19"";""1"";""0"""
"201371069;NULL;""OK"";""2017-04-13 17:20:11"";""1"";""1"";""345.7"";""13.5"";""1"";""-76.402557"";""18.524392"";""-1"";""112.5"";""113"";""0"";""0"""
"201372375;NULL;""OK"";""2017-04-17 16:55:36"";""1"";""0"";""600.7"";""40.4"";""0"";""-76.307055"";""18.425432"";""-1"";""110.8"";""106"";""0"";""0"""
"203375400;NULL;""OK"";""2017-04-10 23:43:05"";""18"";""-1"";""-999.9"";""4.9"";""1"";""-76.342925"";""18.209673"";""-1"";""278.6"";""511"";""1"";""0"""
"203375400;NULL;""OK"";""2017-04-11 00:26:34"";""18"";""-1"";""-999.9"";""4.3"";""1"";""-76.40094"";""18.200673"";""-1"";""270.7"";""511"";""1"";""0"""
"203375400;NULL;""OK"";""2017-04-11 00:43:09"";""18"";""-1"";""-999.9"";""4.7"";""1"";""-76.425138"";""18.19569"";""-1"";""258.7"";""511"";""1"";""0"""
"203375400;NULL;""OK"";""2017-04-11 01:01:35"";""18"";""-1"";""-999.9"";""5.2"";""1"";""-76.450972"";""18.185632"";""-1"";""253"";""511"";""1"";""0"""
"203375400;NULL;""OK"";""2017-04-11 01:27:33"";""18"";""-1"";""-999.9"";""0.1"";""1"";""-76.453372"";""18.18066"";""-1"";""332.5"";""511"";""1"";""0"""
